jst,bid,ask,volume,volume_real,flags
2025-06-18 00:02:01.794000+09:00,73.345,73.409,0,0.0,1154
2025-06-18 00:02:02.696000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:02:02.996000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:02:03.498000+09:00,73.355,73.409,0,0.0,1028
2025-06-18 00:02:03.796000+09:00,73.355,73.419,0,0.0,1028
2025-06-18 00:02:03.897000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:02:03.997000+09:00,73.375,73.439,0,0.0,1028
2025-06-18 00:02:04.499000+09:00,73.375,73.429,0,0.0,1028
2025-06-18 00:02:04.998000+09:00,73.385,73.439,0,0.0,1158
2025-06-18 00:02:05.399000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:02:06.100000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:02:06.300000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:02:06.700000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:02:07.402000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:02:07.502000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:02:07.601000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:02:08.204000+09:00,73.375,73.439,0,0.0,1028
2025-06-18 00:02:08.603000+09:00,73.375,73.429,0,0.0,1028
2025-06-18 00:02:10.809000+09:00,73.365,73.429,0,0.0,1154
2025-06-18 00:02:10.911000+09:00,73.375,73.429,0,0.0,1154
2025-06-18 00:02:12.213000+09:00,73.385,73.439,0,0.0,1158
2025-06-18 00:02:13.316000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:02:13.716000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:02:15.120000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:02:15.421000+09:00,73.385,73.439,0,0.0,1028
2025-06-18 00:02:15.521000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:02:16.621000+09:00,73.395,73.449,0,0.0,1154
2025-06-18 00:02:17.224000+09:00,73.385,73.449,0,0.0,1154
2025-06-18 00:02:17.424000+09:00,73.385,73.439,0,0.0,1028
2025-06-18 00:02:17.524000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:02:17.723000+09:00,73.385,73.439,0,0.0,1028
2025-06-18 00:02:18.525000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:02:20.833000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:02:20.932000+09:00,73.375,73.439,0,0.0,1154
